LHNo,flagged,reasons,identity_sensitive,confidence,baseline_category,proposed_category,baseline_tags,proposed_tags,baseline_description,proposed_description,subject,date,filename
75-0001,False,,False,0.85,Disasters & Floods,Disasters & Floods,flood damage; office building basement; water damage; scattered debris; black and white photograph,flood damage; office building basement; water damage; scattered debris; black and white photograph,"This black and white photograph shows the flooded basement of Office Building 421 at the foot of stairs during the 1946 Corning flood, with water covering the floor and personal items, furniture, and papers scattered and damaged throughout the space.","This black and white photograph shows the flooded basement of Office Building 421 at the foot of stairs during the 1946 Corning flood, with water covering the floor and personal items, furniture, and papers scattered and damaged throughout the space.",Corning Glass Works Floods,1946,lh-75-0001.jpg
75-0002,True,description_error,False,0.92,Disasters & Floods,Disasters & Floods,flood damage; filing cabinets; water damage; interior; black and white photograph,flood damage; filing cabinets; water damage; interior; black and white photograph,"This black and white photograph shows the interior of a flood-damaged office or facility in Corning, NY from 1946, with multiple filing cabinets submerged in floodwater and papers and materials scattered throughout the space, documenting the destruction caused by the Corning Glass Works Floods.","This black and white photograph shows the interior of a flood-damaged office or facility in Corning, NY from 1946, with filing cabinets surrounded by floodwater on the floor and papers and materials scattered throughout the space, documenting the destruction caused by the Corning Glass Works Floods.",Corning Glass Works Floods,1946,lh-75-0002.jpg
75-0003,False,,False,0.92,Disasters & Floods,Disasters & Floods,flood damage; office building basement; scattered documents; water damage; black and white photograph,flood damage; office building basement; scattered documents; water damage; black and white photograph,"This black and white photograph shows the flooded basement of Office Building #21 in the Advertising Department at Corning Glass Works, with water-damaged papers, overturned furniture, and documents scattered throughout, as indicated by the caption noting the water had receded and the basement was partially pumped during the 1946 flood.","This black and white photograph shows the flooded basement of Office Building #21 in the Advertising Department at Corning Glass Works, with water-damaged papers, overturned furniture, and documents scattered throughout, as indicated by the caption noting the water had receded and the basement was partially pumped during the 1946 flood.",Corning Glass Works Floods,1946,lh-75-0003.jpg
75-0004,False,,True,0.85,Disasters & Floods,Disasters & Floods,flooded alley; brick buildings; wooden debris; 1946 flood; black and white photograph,flooded alley; brick buildings; wooden debris; 1946 flood; black and white photograph,"A black and white photograph documenting flood damage in Corning, NY showing a flooded alley between brick industrial buildings with wooden crates and debris scattered throughout, observed by a man in period clothing and hat.","A black and white photograph documenting flood damage in Corning, NY showing a flooded alley between brick industrial buildings with wooden crates and debris scattered throughout, observed by a man in period clothing and hat.",Corning Glass Works Floods,1946,lh-75-0004.jpg
75-0005,True,description_error,False,0.85,Disasters & Floods,Disasters & Floods,flooded street; 1940s automobiles; brick industrial buildings; floodwaters; black and white photograph,flooded street; 1940s automobiles; brick industrial buildings; floodwaters; black and white photograph,"This black and white photograph shows a flooded street in Corning, NY during the 1946 flood, with two 1940s-era automobiles partially submerged in floodwater in front of large brick industrial buildings, likely part of the Corning Glass Works facility.","This black and white photograph shows a flooded street in Corning, NY during the 1946 flood, with two 1940s-era automobiles surrounded by floodwater in front of large brick industrial buildings, likely part of the Corning Glass Works facility.",Corning Glass Works Floods,1946,lh-75-0005.jpg
75-0007,True,description_error,True,0.95,Disasters & Floods,Disasters & Floods,flood damage; office building interior; water damage; 1946; black and white photograph,flood damage; office building interior; water damage; 1946; black and white photograph,"A man in a dark coat and fedora surveys the interior of an office in Building No. 21 of the Corning Glass Works after water from the 1946 flood receded, showing damaged file cabinets, scattered papers, and waterlogged materials throughout the workspace.","A man in a dark coat and fedora surveys the basement of Building No. 21 of the Corning Glass Works after water from the 1946 flood receded in the Advertising Department, showing damaged file cabinets, scattered papers, and waterlogged materials throughout the workspace.",Corning Glass Works Floods,1946,lh-75-0007.jpg
75-0008,True,description_error; doubts(1),False,0.85,Disasters & Floods,Disasters & Floods,flooded street; brick industrial building; 1940s automobile; people wading; black and white photograph,flooded street; brick industrial building; 1940s automobile; people wading; black and white photograph,"A black and white photograph showing a flooded street in Corning, NY during the 1946 flood, with a large brick industrial building (likely Corning Glass Works) partially submerged in water, several people wading through the flood, and a 1940s-era car visible on the left side of the frame.","A black and white photograph showing a flooded street in Corning, NY during the 1946 flood, with a large brick industrial building (likely Corning Glass Works) surrounded by floodwater at ground level, several people standing or walking near the building, and a 1940s-era car visible on the left side of the frame.",Corning Glass Works Floods,1946,lh-75-0008.jpg
75-0009,True,description_error,False,0.92,Disasters & Floods,Disasters & Floods,flooded house; structural damage; new york state flood; july 1935; black and white photograph,flooded house; structural damage; new york state flood; july 1935; black and white photograph,"A residential house is partially submerged and tilted at an angle in floodwaters during the July 8, 1935 New York State flood, with debris and trees visible in the background, captioned as ""A very common sight in New York State Flood—Flood July 8, 1935.""","A residential house is tilted at an angle and collapsed during the July 8, 1935 New York State flood, with debris and trees visible in the background, captioned as ""A very common sight in New York State Flood—Flood July 8, 1935.""",Floods,1935,lh-75-0009.jpg
75-0010,False,,False,0.95,Disasters & Floods,Disasters & Floods,flooded landscape; rural road; forest; 1935 flood; black and white photograph,flooded landscape; rural road; forest; 1935 flood; black and white photograph,"This photograph documents the flooding along the Corning and Painted Post Road on July 8, 1935, showing a submerged rural landscape with trees, vegetation, and a fence partially underwater, with forested hills visible in the background.","This photograph documents the flooding along the Corning and Painted Post Road on July 8, 1935, showing a submerged rural landscape with trees, vegetation, and a fence partially underwater, with forested hills visible in the background.",Floods,1935,lh-75-0010.jpg
75-0011,True,description_error; category_change(Domestic & Family Life -> Streetscapes & Architecture),False,0.85,Domestic & Family Life,Streetscapes & Architecture,residential street; victorian house; 1935; corning new york; black and white photograph,residential street; victorian house; 1935; corning new york; black and white photograph,"A 1935 black and white photograph of a Victorian-era residential street in Corning, New York, showing a white wooden house with a turret and wraparound porch, lattice fencing, mature trees, and a street sign reading ""LEE"" visible in the foreground.","A 1935 black and white photograph of a Victorian-era residential street in Corning, New York, showing a white wooden house with a turret and wraparound porch, picket fencing, mature trees, and a street sign reading ""LEE Street"" visible in the center.","Corning, New York",1935,lh-75-0011.jpg
