id,LHNo,Subject:,Date,Tags,Description
1,17-1581,"Caton, N.Y.",,,
2,75-0001,Corning Glass Works Floods,1946,flood damage; office building basement; water damage; scattered debris; black and white photograph,"This black and white photograph shows the flooded basement of Office Building 421 at the foot of stairs during the 1946 Corning flood, with water covering the floor and personal items, furniture, and papers scattered and damaged throughout the space."
3,75-0001,Floods,1946,flood damage; office building basement; water damage; scattered debris; black and white photograph,"This black and white photograph shows the flooded basement of Office Building 421 at the foot of stairs during the 1946 Corning flood, with water covering the floor and personal items, furniture, and papers scattered and damaged throughout the space."
4,75-0002,Corning Glass Works Floods,1946,flood damage; filing cabinets; water damage; interior; black and white photograph,"This black and white photograph shows the interior of a flood-damaged office or facility in Corning, NY from 1946, with multiple filing cabinets submerged in floodwater and papers and materials scattered throughout the space, documenting the destruction caused by the Corning Glass Works Floods."
5,75-0002,Floods,1946,flood damage; filing cabinets; water damage; interior; black and white photograph,"This black and white photograph shows the interior of a flood-damaged office or facility in Corning, NY from 1946, with multiple filing cabinets submerged in floodwater and papers and materials scattered throughout the space, documenting the destruction caused by the Corning Glass Works Floods."
6,75-0003,Corning Glass Works Floods,1946,flood damage; office building basement; scattered documents; water damage; black and white photograph,"This black and white photograph shows the flooded basement of Office Building #21 in the Advertising Department at Corning Glass Works, with water-damaged papers, overturned furniture, and documents scattered throughout, as indicated by the caption noting the water had receded and the basement was partially pumped during the 1946 flood."
7,75-0003,Floods,1946,flood damage; office building basement; scattered documents; water damage; black and white photograph,"This black and white photograph shows the flooded basement of Office Building #21 in the Advertising Department at Corning Glass Works, with water-damaged papers, overturned furniture, and documents scattered throughout, as indicated by the caption noting the water had receded and the basement was partially pumped during the 1946 flood."
8,75-0004,Corning Glass Works Floods,1946,flooded alley; brick buildings; wooden debris; 1946 flood; black and white photograph,"A black and white photograph documenting flood damage in Corning, NY showing a flooded alley between brick industrial buildings with wooden crates and debris scattered throughout, observed by a man in period clothing and hat."
9,75-0004,Floods,1946,flooded alley; brick buildings; wooden debris; 1946 flood; black and white photograph,"A black and white photograph documenting flood damage in Corning, NY showing a flooded alley between brick industrial buildings with wooden crates and debris scattered throughout, observed by a man in period clothing and hat."
10,75-0005,Corning Glass Works Floods,1946,flooded street; 1940s automobiles; brick industrial buildings; floodwaters; black and white photograph,"This black and white photograph shows a flooded street in Corning, NY during the 1946 flood, with two 1940s-era automobiles partially submerged in floodwater in front of large brick industrial buildings, likely part of the Corning Glass Works facility."
11,75-0005,Floods,1946,flooded street; 1940s automobiles; brick industrial buildings; floodwaters; black and white photograph,"This black and white photograph shows a flooded street in Corning, NY during the 1946 flood, with two 1940s-era automobiles partially submerged in floodwater in front of large brick industrial buildings, likely part of the Corning Glass Works facility."
12,75-0006,Baron Steuben Hotel,1946,,
13,75-0006,Corning Glass Works Floods,1946,,
14,75-0006,Floods,1946,,
15,75-0007,Corning Glass Works Floods,1946,flood damage; office building interior; water damage; 1946; black and white photograph,"A man in a dark coat and fedora surveys the interior of an office in Building No. 21 of the Corning Glass Works after water from the 1946 flood receded, showing damaged file cabinets, scattered papers, and waterlogged materials throughout the workspace."
